PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Age_group,Expenditure,No_spending,Group,Group_size,Solo,Cabin_deck,Cabin_number,Cabin_side,Cabin_region1,Cabin_region2,Cabin_region3,Cabin_region4,Cabin_region5,Cabin_region6,Cabin_region7,Family_size
0009_01,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Age_31-50,1309.0,0,9,1,1,F,1.0,P,1,0,0,0,0,0,0,4
0010_01,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Age_31-50,809.0,0,10,1,1,G,1.0,S,1,0,0,0,0,0,0,6
0011_01,Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Age_26-30,1003.0,0,11,1,1,F,2.0,P,1,0,0,0,0,0,0,9
0012_01,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Age_31-50,908.0,0,12,1,1,G,-2.0,S,1,0,0,0,0,0,0,12
0014_01,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,304.95112781954884,0.0,0.0,Age_26-30,1712.951127819549,0,14,1,1,F,3.0,P,1,0,0,0,0,0,0,2
0015_01,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Age_18-25,638.0,0,15,1,1,F,4.0,P,1,0,0,0,0,0,0,9
0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,16,1,1,F,5.0,P,1,0,0,0,0,0,0,7
0017_01,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,17,2,0,G,0.0,P,1,0,0,0,0,0,0,8
0017_02,Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Age_13-17,1092.0,0,17,2,0,F,6.0,P,1,0,0,0,0,0,0,8
0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,8
0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,8
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,7
0020_04,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,6
0020_05,Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,8
0020_06,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,7
0022_01,Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,Age_18-25,1051.0,0,22,1,1,D,0.0,P,1,0,0,0,0,0,0,0
0024_01,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Age_51+,0.0,1,24,1,1,C,2.0,S,1,0,0,0,0,0,0,1
0025_01,Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Age_13-17,1223.0,0,25,1,1,F,6.0,S,1,0,0,0,0,0,0,6
0026_01,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Age_31-50,7861.0,0,26,1,1,C,0.0,P,1,0,0,0,0,0,0,2
0028_01,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Age_31-50,1309.0,0,28,1,1,F,8.0,P,1,0,0,0,0,0,0,5
0030_01,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Age_31-50,1821.0,0,30,1,1,G,4.0,S,1,0,0,0,0,0,0,4
0031_01,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Age_31-50,2854.0,0,31,3,0,F,9.0,P,1,0,0,0,0,0,0,5
0031_02,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,31,3,0,F,9.0,P,1,0,0,0,0,0,0,5
0031_03,Mars,False,TRAPPIST-1e,20.0,False,559.9157303370787,0.0,1750.0,990.0,0.0,Age_18-25,3299.9157303370785,0,31,3,0,F,9.0,P,1,0,0,0,0,0,0,5
0034_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,34,1,1,D,1.0,S,1,0,0,0,0,0,0,1
0035_01,Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Age_18-25,2699.0,0,35,1,1,D,1.0,P,1,0,0,0,0,0,0,6
0036_01,Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,Age_13-17,961.0,0,36,1,1,F,8.0,S,1,0,0,0,0,0,0,6
0038_01,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Age_18-25,3355.0,0,38,1,1,F,10.0,S,1,0,0,0,0,0,0,7
0039_01,Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,39,1,1,G,1.0,P,1,0,0,0,0,0,0,2
0041_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,41,1,1,G,2.0,P,1,0,0,0,0,0,0,11
0043_01,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Age_31-50,3575.0,0,43,1,1,B,3.0,P,1,0,0,0,0,0,0,3
0044_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Age_51+,0.0,1,44,3,0,G,3.0,P,1,0,0,0,0,0,0,9
0044_02,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,44,3,0,G,3.0,P,1,0,0,0,0,0,0,9
0044_03,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,44,3,0,G,3.0,P,1,0,0,0,0,0,0,9
0045_01,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Age_18-25,1214.0,0,45,2,0,F,10.0,P,1,0,0,0,0,0,0,7
0045_02,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,45,2,0,F,10.0,P,1,0,0,0,0,0,0,7
0050_01,Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,167.42797668609492,0.0,Age_31-50,957.4279766860949,0,50,1,1,E,1.0,S,1,0,0,0,0,0,0,3
0051_01,Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Age_51+,1618.0,0,51,1,1,E,2.0,S,1,0,0,0,0,0,0,6
0052_01,Earth,False,TRAPPIST-1e,26.0,False,4.0,0.0,2.0,4683.0,0.0,Age_26-30,4689.0,0,52,1,1,G,6.0,S,1,0,0,0,0,0,0,8
0053_01,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Age_18-25,1939.0,0,53,1,1,F,11.0,S,1,0,0,0,0,0,0,10
0056_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,56,3,0,A,1.0,S,1,0,0,0,0,0,0,6
0056_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,56,3,0,A,1.0,S,1,0,0,0,0,0,0,6
0056_03,Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Age_26-30,4547.0,0,56,3,0,A,1.0,S,1,0,0,0,0,0,0,6
0058_01,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,58,1,1,G,7.0,S,1,0,0,0,0,0,0,6
0061_01,Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Age_18-25,2667.0,0,61,1,1,F,12.0,S,1,0,0,0,0,0,0,5
0062_01,Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Age_51+,634.0,0,62,1,1,F,13.0,S,1,0,0,0,0,0,0,8
0064_01,Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,64,2,0,F,14.0,S,1,0,0,0,0,0,0,7
0064_02,Mars,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,64,2,0,E,3.0,S,1,0,0,0,0,0,0,7
0066_01,Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Age_51+,811.0,0,66,1,1,G,6.0,P,1,0,0,0,0,0,0,5
0067_01,Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,67,3,0,G,10.0,S,1,0,0,0,0,0,0,9
0067_02,Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Age_18-25,705.0,0,67,3,0,G,10.0,S,1,0,0,0,0,0,0,9
0067_03,Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Age_18-25,2007.0,0,67,3,0,F,15.0,S,1,0,0,0,0,0,0,9
0068_01,Mars,False,TRAPPIST-1e,28.5,False,793.0,0.0,2.0,253.0,0.0,Age_26-30,1048.0,0,68,1,1,E,4.0,S,1,0,0,0,0,0,0,3
0069_01,Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,Age_31-50,902.0,0,69,1,1,F,16.0,S,1,0,0,0,0,0,0,0
0070_01,Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Age_18-25,922.0,0,70,1,1,F,13.0,P,1,0,0,0,0,0,0,8
0071_01,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Age_13-17,2233.0,0,71,1,1,F,14.0,P,1,0,0,0,0,0,0,3
0072_01,Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Age_13-17,1064.0,0,72,1,1,F,17.0,S,1,0,0,0,0,0,0,8
0073_01,Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,Age_31-50,879.0,0,73,1,1,D,3.0,P,1,0,0,0,0,0,0,11
0074_01,Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Age_31-50,8904.0,0,74,1,1,C,3.0,S,1,0,0,0,0,0,0,7
0076_01,Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Age_26-30,1165.0,0,76,1,1,F,18.0,S,1,0,0,0,0,0,0,11
0077_01,Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Age_26-30,1309.0,0,77,1,1,F,15.0,P,1,0,0,0,0,0,0,2
0078_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Age_31-50,15815.0,0,78,1,1,C,4.0,S,1,0,0,0,0,0,0,4
0081_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,81,1,1,G,13.0,S,1,0,0,0,0,0,0,9
0082_01,Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Age_31-50,7406.0,0,82,3,0,F,16.0,P,1,0,0,0,0,0,0,7
0082_02,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,82,3,0,F,16.0,P,1,0,0,0,0,0,0,7
0082_03,Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,82,3,0,F,16.0,P,1,0,0,0,0,0,0,7
0084_01,Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Age_18-25,705.0,0,84,1,1,G,14.0,S,1,0,0,0,0,0,0,6
0085_01,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,85,1,1,C,5.0,S,1,0,0,0,0,0,0,2
0086_01,Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,Age_31-50,1362.0,0,86,1,1,F,17.0,P,1,0,0,0,0,0,0,8
0088_01,Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,88,1,1,E,5.0,S,1,0,0,0,0,0,0,5
0090_01,Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,90,1,1,G,15.0,S,1,0,0,0,0,0,0,11
0091_01,Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,91,2,0,G,16.0,S,1,0,0,0,0,0,0,13
0091_02,Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Age_26-30,917.0,0,91,2,0,F,20.0,S,1,0,0,0,0,0,0,13
0092_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,Age_18-25,705.0,0,92,3,0,G,9.0,P,1,0,0,0,0,0,0,5
0092_02,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,92,3,0,G,9.0,P,1,0,0,0,0,0,0,10
0092_03,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,92,3,0,G,9.0,P,1,0,0,0,0,0,0,10
0097_01,Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,Age_51+,1848.0,0,97,1,1,A,2.0,S,1,0,0,0,0,0,0,5
0098_01,Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,Age_26-30,893.0,0,98,2,0,G,11.0,P,1,0,0,0,0,0,0,6
0098_02,Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Age_26-30,3855.0,0,98,2,0,G,11.0,P,1,0,0,0,0,0,0,6
0099_01,Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,Age_18-25,1301.0,0,99,2,0,F,19.0,P,1,0,0,0,0,0,0,3
0099_02,Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,99,2,0,G,12.0,P,1,0,0,0,0,0,0,4
0101_01,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,101,1,1,F,16.0,S,1,0,0,0,0,0,0,6
0102_01,Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,Age_18-25,921.0,0,102,1,1,F,23.0,S,1,0,0,0,0,0,0,5
0103_01,Earth,False,TRAPPIST-1e,24.0,False,0.0,145.03195488721803,0.0,0.0,17.0,Age_18-25,162.03195488721803,0,103,3,0,F,24.0,S,1,0,0,0,0,0,0,6
0103_02,Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,103,3,0,G,18.0,S,1,0,0,0,0,0,0,6
0103_03,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,103,3,0,G,18.0,S,1,0,0,0,0,0,0,6
0105_01,Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,Age_26-30,703.0,0,105,1,1,F,21.0,P,1,0,0,0,0,0,0,9
0107_01,Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,Age_18-25,1765.0,0,107,1,1,D,2.0,S,1,0,0,0,0,0,0,4
0108_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,108,3,0,G,19.0,S,1,0,0,0,0,0,0,11
0108_02,Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,Age_31-50,888.0,0,108,3,0,G,19.0,S,1,0,0,0,0,0,0,11
0108_03,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-12,0.0,1,108,3,0,G,19.0,S,1,0,0,0,0,0,0,11
0110_01,Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Age_31-50,5109.0,0,110,4,0,B,4.0,P,1,0,0,0,0,0,0,7
0110_02,Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Age_31-50,2018.0,0,110,4,0,B,5.0,P,1,0,0,0,0,0,0,2
0110_03,Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Age_31-50,15940.0,0,110,4,0,B,5.0,P,1,0,0,0,0,0,0,7
0110_04,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,110,4,0,B,5.0,P,1,0,0,0,0,0,0,7
0111_01,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,111,1,1,E,6.0,S,1,0,0,0,0,0,0,6
0112_01,Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,Age_31-50,2654.0,0,112,1,1,B,1.0,S,1,0,0,0,0,0,0,2
0113_01,Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,Age_51+,804.0,0,113,1,1,F,23.0,P,1,0,0,0,0,0,0,8
0114_01,Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,Age_26-30,907.0,0,114,1,1,G,20.0,S,1,0,0,0,0,0,0,7
0115_01,Mars,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,115,1,1,F,24.0,P,1,0,0,0,0,0,0,5
0116_01,Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,Age_31-50,2640.0,0,116,1,1,D,4.0,P,1,0,0,0,0,0,0,2
0119_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Age_31-50,9307.0,0,119,2,0,A,0.0,P,1,0,0,0,0,0,0,5
0119_02,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,119,2,0,A,0.0,P,1,0,0,0,0,0,0,5
0120_01,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,120,1,1,F,25.0,P,1,0,0,0,0,0,0,5
0122_01,Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,Age_26-30,773.0,0,122,1,1,G,21.0,S,1,0,0,0,0,0,0,10
0123_01,Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,Age_18-25,702.0,0,123,1,1,F,27.0,P,1,0,0,0,0,0,0,9
0126_01,Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,Age_51+,0.0,1,126,1,1,F,27.0,S,1,0,0,0,0,0,0,3
0127_01,Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,Age_31-50,1022.0,0,127,1,1,E,7.0,S,1,0,0,0,0,0,0,3
0128_01,Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,Age_51+,3014.0,0,128,2,0,D,3.0,S,1,0,0,0,0,0,0,3
0128_02,Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,Age_31-50,2109.0,0,128,2,0,E,8.0,S,1,0,0,0,0,0,0,3
0129_01,Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,129,1,1,G,22.0,S,1,0,0,0,0,0,0,7
0133_01,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,133,2,0,F,29.0,S,1,0,0,0,0,0,0,7
0133_02,Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,Age_31-50,2738.0,0,133,2,0,D,5.0,S,1,0,0,0,0,0,0,7
0134_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,Age_18-25,744.0,0,134,1,1,G,17.0,P,1,0,0,0,0,0,0,6
0136_01,Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,Age_31-50,721.0,0,136,1,1,G,23.0,S,1,0,0,0,0,0,0,0
0138_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,138,2,0,G,18.0,P,1,0,0,0,0,0,0,6
0138_02,Earth,False,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,Age_31-50,793.0,0,138,2,0,E,5.0,P,1,0,0,0,0,0,0,6
0139_01,Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,139,1,1,C,6.0,S,1,0,0,0,0,0,0,9
0140_01,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,140,2,0,G,19.0,P,1,0,0,0,0,0,0,9
0140_02,Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,Age_26-30,902.0,0,140,2,0,F,29.0,P,1,0,0,0,0,0,0,5
0141_01,Mars,False,TRAPPIST-1e,31.0,False,550.9732824427481,0.0,97.0,0.0,0.0,Age_31-50,647.9732824427481,0,141,1,1,F,30.0,P,1,0,0,0,0,0,0,3
0144_01,Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,Age_18-25,630.0,0,144,1,1,F,31.0,S,1,0,0,0,0,0,0,6
0146_01,Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Age_51+,0.0,1,146,1,1,G,25.0,S,1,0,0,0,0,0,0,12
0147_01,Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,147,1,1,G,26.0,S,1,0,0,0,0,0,0,9
0148_01,Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,Age_31-50,1158.0,0,148,1,1,F,31.0,P,1,0,0,0,0,0,0,7
0149_01,Earth,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,Age_18-25,0.0,1,149,1,1,G,27.0,S,1,0,0,0,0,0,0,9
0151_01,Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,151,1,1,G,20.0,P,1,0,0,0,0,0,0,10
0152_01,Earth,False,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,607.0,Age_31-50,607.0,0,152,1,1,F,32.0,P,1,0,0,0,0,0,0,6
0160_01,Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,Age_18-25,4180.0,0,160,1,1,G,22.0,P,1,0,0,0,0,0,0,5
0163_01,Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,163,2,0,B,8.0,P,1,0,0,0,0,0,0,6
0163_02,Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,163,2,0,B,8.0,P,1,0,0,0,0,0,0,6
0164_01,Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,113.01769911504425,135.0,Age_51+,1986.0176991150443,0,164,2,0,G,28.0,S,1,0,0,0,0,0,0,6
0164_02,Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,164,2,0,G,28.0,S,1,0,0,0,0,0,0,6
0165_01,Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,165,1,1,F,37.0,P,1,0,0,0,0,0,0,3
0167_01,Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,167,2,0,F,35.0,S,1,0,0,0,0,0,0,8
0167_02,Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,Age_26-30,1572.0,0,167,2,0,F,35.0,S,1,0,0,0,0,0,0,8
0169_01,Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,169,1,1,G,23.0,P,1,0,0,0,0,0,0,7
